  64    7   63
  32    6   31
  16    5   15
   8    4    7
   4    3    3
   2    2    1
   1    1    0
  -1   -1   -1
  -1   -1   -1
   3    1    2
  -1   -1   -1
  -1   -1   -1
   6    2    5
   5    1    4
  -1   -1   -1
  -1   -1   -1
   7    1    6
  -1   -1   -1
  -1   -1   -1
  12    3   11
  10    2    9
   9    1    8
  -1   -1   -1
  -1   -1   -1
  11    1   10
  -1   -1   -1
  -1   -1   -1
  14    2   13
  13    1   12
  -1   -1   -1
  -1   -1   -1
  15    1   14
  -1   -1   -1
  -1   -1   -1
  24    4   23
  20    3   19
  18    2   17
  17    1   16
  -1   -1   -1
  -1   -1   -1
  19    1   18
  -1   -1   -1
  -1   -1   -1
  22    2   21
  21    1   20
  -1   -1   -1
  -1   -1   -1
  23    1   22
  -1   -1   -1
  -1   -1   -1
  28    3   27
  26    2   25
  25    1   24
  -1   -1   -1
  -1   -1   -1
  27    1   26
  -1   -1   -1
  -1   -1   -1
  30    2   29
  29    1   28
  -1   -1   -1
  -1   -1   -1
  31    1   30
  -1   -1   -1
  -1   -1   -1
  48    5   47
  40    4   39
  36    3   35
  34    2   33
  33    1   32
  -1   -1   -1
  -1   -1   -1
  35    1   34
  -1   -1   -1
  -1   -1   -1
  38    2   37
  37    1   36
  -1   -1   -1
  -1   -1   -1
  39    1   38
  -1   -1   -1
  -1   -1   -1
  44    3   43
  42    2   41
  41    1   40
  -1   -1   -1
  -1   -1   -1
  43    1   42
  -1   -1   -1
  -1   -1   -1
  46    2   45
  45    1   44
  -1   -1   -1
  -1   -1   -1
  47    1   46
  -1   -1   -1
  -1   -1   -1
  56    4   55
  52    3   51
  50    2   49
  49    1   48
  -1   -1   -1
  -1   -1   -1
  51    1   50
  -1   -1   -1
  -1   -1   -1
  54    2   53
  53    1   52
  -1   -1   -1
  -1   -1   -1
  55    1   54
  -1   -1   -1
  -1   -1   -1
  60    3   59
  58    2   57
  57    1   56
  -1   -1   -1
  -1   -1   -1
  59    1   58
  -1   -1   -1
  -1   -1   -1
  62    2   61
  61    1   60
  -1   -1   -1
  -1   -1   -1
  63    1   62
  -1   -1   -1
  -1   -1   -1
  80    6   79
  72    4   71
  68    3   67
  66    2   65
  65    1   64
  -1   -1   -1
  -1   -1   -1
  67    1   66
  -1   -1   -1
  -1   -1   -1
  70    2   69
  69    1   68
  -1   -1   -1
  -1   -1   -1
  71    1   70
  -1   -1   -1
  -1   -1   -1
  76    3   75
  74    2   73
  73    1   72
  -1   -1   -1
  -1   -1   -1
  75    1   74
  -1   -1   -1
  -1   -1   -1
  78    2   77
  77    1   76
  -1   -1   -1
  -1   -1   -1
  79    1   78
  -1   -1   -1
  -1   -1   -1
  88    5   87
  84    3   83
  82    2   81
  81    1   80
  -1   -1   -1
  -1   -1   -1
  83    1   82
  -1   -1   -1
  -1   -1   -1
  86    2   85
  85    1   84
  -1   -1   -1
  -1   -1   -1
  87    1   86
  -1   -1   -1
  -1   -1   -1
  96    4   95
  92    3   91
  90    2   89
  89    1   88
  -1   -1   -1
  -1   -1   -1
  91    1   90
  -1   -1   -1
  -1   -1   -1
  94    2   93
  93    1   92
  -1   -1   -1
  -1   -1   -1
  95    1   94
  -1   -1   -1
  -1   -1   -1
  98    3   97
  97    1   96
  -1   -1   -1
  -1   -1   -1
  99    2   98
  -1   -1   -1
 100    1   99
  -1   -1   -1
  -1   -1   -1
